name,terminology,code,term
diabetes_other,SNOMED-CT,286451000000100,Cystic fibrosis related diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,290002008,Brittle type I diabetes mellitus
diabetes_other,SNOMED-CT,292571000000107,Cystic fibrosis related diabetes mellitus
diabetes_other,SNOMED-CT,303059007,Postpancreatectomy hypoinsulinemia (disorder)
diabetes_other,SNOMED-CT,308105005,On examination-Right diabetic foot at risk
diabetes_other,SNOMED-CT,308106006,On examination-Left diabetic foot at risk
diabetes_other,SNOMED-CT,309426007,Glomerulopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus
diabetes_other,SNOMED-CT,310505005,Hyperosmolar non-ketotic state due to diabetes mellitus
diabetes_other,SNOMED-CT,311366001,Kimmelstiel-Wilson syndrome
diabetes_other,SNOMED-CT,311782002,Advanced retinal disease due to diabetes mellitus
diabetes_type1,SNOMED-CT,31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,312903003,Mild nonproliferative retinopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,312904009,Moderate nonproliferative retinopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,312905005,Severe nonproliferative retinopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,312906006,Non-high-risk proliferative retinopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,312907002,High risk proliferative retinopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,312908007,Quiescent proliferative retinopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,312909004,Proliferative retinopathy with iris neovascularization due to diabetes mellitus
diabetes_other,SNOMED-CT,312910009,Vitreous hemorrhage due to diabetes mellitus
diabetes_other,SNOMED-CT,312912001,Macular edema due to diabetes mellitus
diabetes_type1,SNOMED-CT,31321000119102,Diabetes mellitus type 1 without retinopathy (disorder)
diabetes_type1,SNOMED-CT,313435000,Type I diabetes mellitus without complication
diabetes_type2,SNOMED-CT,313436004,Type II diabetes mellitus without complication
diabetes_other,SNOMED-CT,314010006,Diffuse exudative maculopathy due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,314011005,Focal exudative maculopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,314014002,Ischemic maculopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,314015001,Mixed maculopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,314537004,Optic papillopathy due to diabetes mellitus
diabetes_type1,SNOMED-CT,314771006,Type I diabetes mellitus with hypoglycemic coma (disorder)
diabetes_type1,SNOMED-CT,314893005,Arthropathy due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,314902007,Peripheral angiopathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,314903002,Arthropathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,314904008,Type II diabetes mellitus with neuropathic arthropathy (disorder)
diabetes_other,SNOMED-CT,315051004,Diabetes resolved (finding)
diabetes_other,SNOMED-CT,33559001,Pineal hyperplasia AND diabetes mellitus syndrome
diabetes_other,SNOMED-CT,335621000000101,Maternally inherited diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,35777006,Mononeuropathy multiplex due to diabetes mellitus
diabetes_other,SNOMED-CT,359611005,Neuropathy with neurologic complication due to diabetes mellitus
diabetes_type2,SNOMED-CT,359642000,Diabetes mellitus type 2 in nonobese
diabetes_other,SNOMED-CT,361216007,Femoral mononeuropathy due to diabetes mellitus
diabetes_type1,SNOMED-CT,367211000119103,Inflammatory dermatosis due to type 1 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,367241000119104,Hyperosmolar coma due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,367261000119100,Hyperosmolarity due to drug induced diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,367991000119101,Hyperglycemia due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,368051000119109,Hyperglycemia due to type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368141000119106,Autonomic neuropathy due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368151000119108,Cataract due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368171000119104,Dermatitis due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368181000119101,Ulcer of foot due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368201000119100,Disorder of kidney due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368251000119101,Polyneuropathy due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368421000119108,Chronic kidney disease stage 1 due to drug induced diabetes mellitus (disorder)
